TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF NOV 16, 2015 (B)",Netflix-Master Of None : Online,49.7,31.6,0,0,0,0,0,0,18.1,0,0,0
"WEEK OF NOV 23, 2015 (B)",Netflix : Online,4.9,0,0,0,4.9,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Netflix-Beasts Of No Nation : Online,9,0,0,0,0,0,0,0,9,0,0,0
"WEEK OF NOV 23, 2015 (B)",Netflix-Jessica Jones : Online,787,787,0,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 23, 2015 (B)",Netflix-La Familia PLuche : Online,26.1,0,0,0,26.1,0,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Netflix : Online,527,0,0,0,5.6,0,0,0,0,0,0,521.3
"WEEK OF NOV 30, 2015 (B)",Netflix-A Very Murray Christmas : Online,260.8,117.9,0,0,0,0,0,142.9,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Netflix-Beasts Of No Nation : Online,199.8,0,0,0,199.1,0,0,0,0.7,0,0,0
"WEEK OF NOV 30, 2015 (B)",Netflix-F Is For Family : Online,5.3,0,0,0,0,0,0,0,0,0,0,5.3
"WEEK OF NOV 30, 2015 (B)",Netflix-Jessica Jones : Online,10.2,0.3,0,0,9.9,0,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Netflix-La Familia PLuche : Online,46.4,0,0,0,46.4,0,0,0,0,0,0,0
"WEEK OF NOV 30, 2015 (B)",Netflix-Mike Epps Dont Take It Personal : Online,2.5,0,0,0,0,0,0,0,0,0,0,2.5
"WEEK OF NOV 30, 2015 (B)",Netflix-Ridiculous 6 : Online,151.4,0,0,0,0,0,0,0,0,0,0,151.4
"WEEK OF DEC 07, 2015 (B)",Netflix : Online,1,0,0,0,1,0,0,0,0,0,0,0
"WEEK OF DEC 07, 2015 (B)",Netflix-Beasts Of No Nation : Online,2.8,0,0,0,0,0,0,0,2.8,0,0,0
"WEEK OF DEC 07, 2015 (B)",Netflix-La Familia PLuche : Online,24.7,0,0,0,24.7,0,0,0,0,0,0,0
"WEEK OF DEC 07, 2015 (B)",Netflix-Ridiculous 6 : Online,1553.7,863.6,685.3,0,4.8,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix : Online,0.4,0,0,0,0.4,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-A Very Murray Christmas : Online,5.5,0,2.2,0,3.3,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-Beasts Of No Nation : Online,82.9,0,0,0,0,0,0,0,82.9,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-F Is For Family : Online,40.7,40.7,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-House Of Cards : Online,212.1,0,212.1,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-La Familia PLuche : Online,13.1,0,0,0,13.1,0,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-Ridiculous 6 : Online,750.9,528.7,0,0,0,222.2,0,0,0,0,0,0
"WEEK OF DEC 14, 2015 (B)",Netflix-What Happened Miss Simone : Online,22.9,0,0,0,0,0,0,0,22.9,0,0,0
"WEEK OF DEC 21, 2015 (B)",Netflix-A Very Murray Christmas : Online,26.3,0,26.3,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 21, 2015 (B)",Netflix-Beasts Of No Nation : Online,189.2,43.1,0,0,51.2,0,0,92.2,2.8,0,0,0
"WEEK OF DEC 21, 2015 (B)",Netflix-Making A Murderer : Online,75.2,75.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 21, 2015 (B)",Netflix-What Happened Miss Simone : Online,236.6,158.4,0,0,34.8,0,0,35.7,7.7,0,0,0
"WEEK OF DEC 21, 2015 (B)",Netflix-Winter On Fire : Online,304.6,187.5,0,0,45.6,0,0,71.4,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix : Online,1564.4,819.5,0,0,0,0,0,0,0,0,0,744.9
"WEEK OF DEC 28, 2015 (B)",Netflix-Beasts Of No Nation : Online,685.1,34.8,0,0,327.6,0,0,314,8.7,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix-Chelsea Does : Online,49.3,0,0,0,0,0,0,0,0,0,0,49.3
"WEEK OF DEC 28, 2015 (B)",Netflix-F Is For Family : Online,3.1,0,0,0,0,0,0,0,0,0,0,3.1
"WEEK OF DEC 28, 2015 (B)",Netflix-Jessica Jones : Online,211.7,211.7,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix-Making A Murderer : Online,327.6,327.6,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix-Sense 8 : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix-What Happened Miss Simone : Online,1276.8,1049.4,0,0,71.8,0,0,155.6,0,0,0,0
"WEEK OF DEC 28, 2015 (B)",Netflix-Winter On Fire : Online,235.9,0,0,0,84.4,0,0,151.5,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Netflix : Online,2.7,0,0,0,2.7,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Netflix-Beasts Of No Nation : Online,393.4,0,0,0,104.7,0,0,285.2,3.5,0,0,0
"WEEK OF JAN 04, 2016 (B)",Netflix-House Of Cards : Online,575,575,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Netflix-What Happened Miss Simone : Online,306.1,0,0,0,19.1,0,0,287,0,0,0,0
"WEEK OF JAN 04, 2016 (B)",Netflix-Winter On Fire : Online,328.5,0,0,0,41.5,0,0,287,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Netflix-House Of Cards : Online,175.7,175.7,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 11, 2016 (B)",Netflix-Making A Murderer : Online,37.1,37.1,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 18, 2016 (B)",Netflix-Chelsea Does : Online,18.1,0,0,0,0,0,0,0,18.1,0,0,0
"WEEK OF JAN 18, 2016 (B)",Netflix-Making A Murderer : Online,160.4,153.2,7.2,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Netflix-Chelsea Does : Online,223.5,135.3,0,0,0,88.2,0,0,0,0,0,0
"WEEK OF JAN 25, 2016 (B)",Netflix-Making A Murderer : Online,245.6,219.7,25.9,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 01, 2016 (B)",Netflix : Online,1080.9,0,0,0,7.2,0,0,0,0,0,0,1073.6
"WEEK OF FEB 01, 2016 (B)",Netflix Inc : Corporate Promotion,75,0,0,0,0,0,0,0,0,0,0,75
"WEEK OF FEB 01, 2016 (B)",Netflix-Chelsea Does : Online,49.3,0,0,0,0,0,0,0,0,0,0,49.3
"WEEK OF FEB 01, 2016 (B)",Netflix-Crouching Tiger Hidden Dragon Sword Of Destiny : Online,69.6,0,0,0,0,0,0,0,0,0,0,69.6
"WEEK OF FEB 01, 2016 (B)",Netflix-Hannibal Buress Comedy Camisado : Online,10.7,0,0,0,0,0,0,0,0,0,0,10.7
"WEEK OF FEB 01, 2016 (B)",Netflix-House Of Cards : Online,0.4,0,0,0,0,0,0,0,0,0,0,0.4
"WEEK OF FEB 01, 2016 (B)",Netflix-Ridiculous 6 : Online,0.2,0,0,0,0,0,0,0,0,0,0,0.2
"WEEK OF FEB 01, 2016 (B)",Netflix-What Happened Miss Simone : Online,21.2,0,0,0,21.2,0,0,0,0,0,0,0
"WEEK OF FEB 01, 2016 (B)",Netflix-Winter On Fire : Online,30.7,0,0,0,30.7,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix : Online,7.1,0,0,0,7.1,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix-Chelsea Does : Online,202.4,0,0,0,0,202.4,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix-Cooked : Online,81,0,0,0,0,81,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix-House Of Cards : Online,104.4,104.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix-What Happened Miss Simone : Online,328.9,0,0,0,84.8,101.2,0,142.9,0,0,0,0
"WEEK OF FEB 08, 2016 (B)",Netflix-Winter On Fire : Online,102.7,0,0,0,84.7,0,0,0,18.1,0,0,0
"WEEK OF FEB 15, 2016 (B)",Netflix-Fuller House : Online,311.8,311.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Netflix-Love : Online,76.2,76.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 15, 2016 (B)",Netflix-What Happened Miss Simone : Online,215.7,0,0,0,212.9,0,0,0,2.8,0,0,0
"WEEK OF FEB 15, 2016 (B)",Netflix-Winter On Fire : Online,252.9,0,0,0,107.3,0,0,142.9,2.8,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-Crouching Tiger Hidden Dragon Sword Of Destiny : Online,223.1,62.2,0,0,0,0,0,142.9,18.1,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-Fuller House : Online,298.3,145.7,0,152.5,0.1,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-House Of Cards : Online,1716,1716,0,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-Love : Online,767.7,760.2,0,0,7.5,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-What Happened Miss Simone : Online,34.6,0,0,0,34.6,0,0,0,0,0,0,0
"WEEK OF FEB 22, 2016 (B)",Netflix-Winter On Fire : Online,20.1,0,0,0,20.1,0,0,0,0,0,0,0
"WEEK OF FEB 29, 2016 (B)",Netflix : Online,963.2,0,0,0,0,0,0,0,0,0,0,963.2
"WEEK OF FEB 29, 2016 (B)",Netflix-Crouching Tiger Hidden Dragon Sword Of Destiny : Online,167,53.8,0,0,0,0,0,0,0,0,0,113.2
"WEEK OF FEB 29, 2016 (B)",Netflix-Fuller House : Online,282.9,282.9,0,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 29, 2016 (B)",Netflix-House Of Cards : Online,799.2,641.8,3.7,0,0,0,0,142.9,0,0,0,10.8
"WEEK OF MAR 07, 2016 (B)",Netflix-Daredevil : Online,154,154,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 07, 2016 (B)",Netflix-Fuller House : Online,611.2,254,0,0,0,357.2,0,0,0,0,0,0
"WEEK OF MAR 07, 2016 (B)",Netflix-House Of Cards : Online,667,652.9,14.1,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-Daredevil : Online,2188.9,1955.7,233.2,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-Flaked : Online,66.8,66.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-Fuller House : Online,0.2,0.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-House Of Cards : Online,155,155,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-Pee-Wees Big Holiday : Online,66.8,66.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 14, 2016 (B)",Netflix-Ranch : Online,1087.6,543.8,543.8,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Netflix : Online,10,0,0,0,10,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Netflix-Daredevil : Online,1026.8,1026.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Netflix-La Familia PLuche : Online,10.5,0,0,0,10.5,0,0,0,0,0,0,0
"WEEK OF MAR 21, 2016 (B)",Netflix-Pee-Wees Big Holiday : Online,21.3,21.3,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Netflix : Online,388.9,0,0,0,29.3,0,0,0,0,0,0,359.6
"WEEK OF MAR 28, 2016 (B)",Netflix-Grace & Frankie : Online,15.7,0,0,0,0,0,0,0,0,0,0,15.7
"WEEK OF MAR 28, 2016 (B)",Netflix-La Familia PLuche : Online,44.8,0,0,0,44.8,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Netflix-Ranch : Online,297.6,259.2,38.4,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 28, 2016 (B)",Netflix-Special Correspondents : Online,24.6,0,0,0,0,0,0,0,0,0,0,24.6
"WEEK OF APR 04, 2016 (B)",Netflix : Online,32.5,0,0,0,32.5,0,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Netflix-La Familia PLuche : Online,42.5,0,0,0,42.5,0,0,0,0,0,0,0
"WEEK OF APR 04, 2016 (B)",Netflix-Ranch : Online,548.2,546.9,1.3,0,0,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Netflix : Online,19.8,0,0,0,19.8,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Netflix-La Familia PLuche : Online,27.3,0,0,0,27.3,0,0,0,0,0,0,0
"WEEK OF APR 11, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,42.8,42.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF APR 18, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,107.4,107.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF APR 25, 2016 (B)",Netflix : Online,1019.5,0,0,0,0,0,0,0,0,0,0,1019.5
"WEEK OF APR 25, 2016 (B)",Netflix Inc : Corporate Promotion,57.2,0,0,0,0,0,0,0,0,0,0,57.2
"WEEK OF APR 25, 2016 (B)",Netflix-Bloodline : Online,62.4,0,0,0,0,0,0,0,0,0,0,62.4
"WEEK OF APR 25, 2016 (B)",Netflix-Chelsea : Online,103.7,0,0,0,0,0,0,0,0,0,0,103.7
"WEEK OF APR 25, 2016 (B)",Netflix-Grace & Frankie : Online,0.8,0,0,0,0,0,0,0,0,0,0,0.8
"WEEK OF APR 25, 2016 (B)",Netflix-Ranch : Online,61,0,61,0,0,0,0,0,0,0,0,0
"WEEK OF APR 25, 2016 (B)",Netflix-Special Correspondents : Online,141.3,0,0,0,5.9,0,0,0,0,0,0,135.4
"WEEK OF APR 25, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,11.5,11.5,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 02, 2016 (B)",Netflix-Chelsea : Online,223.1,0,0,0,0,223.1,0,0,0,0,0,0
"WEEK OF MAY 02, 2016 (B)",Netflix-Grace & Frankie : Online,457.4,323.7,0,133.7,0,0,0,0,0,0,0,0
"WEEK OF MAY 02, 2016 (B)",Netflix-Special Correspondents : Online,37.8,37.8,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Netflix-Bloodline : Online,348.3,348.3,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Netflix-Chelsea : Online,75.6,75.6,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 09, 2016 (B)",Netflix-Grace & Frankie : Online,201.3,201.3,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Netflix-Bloodline : Online,329.1,329.1,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Netflix-Chelsea : Online,66,51.2,0,0,14.8,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Netflix-Do-Over : Online,72.2,52.5,16.2,0,3.5,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Netflix-Grace & Frankie : Online,653.2,653.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 16, 2016 (B)",Netflix-Lady Dynamite : Online,40.8,37.8,0,0,3,0,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Netflix-Bloodline : Online,470.4,470.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Netflix-Chelsea : Online,516.9,0,0,0,0,516.9,0,0,0,0,0,0
"WEEK OF MAY 23, 2016 (B)",Netflix-Do-Over : Online,184.8,10.9,173.9,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Netflix : Online,467.3,0,0,0,0,0,0,0,0,0,0,467.3
"WEEK OF MAY 30, 2016 (B)",Netflix Inc : Corporate Promotion,14.7,0,0,0,0,0,0,0,0,0,0,14.7
"WEEK OF MAY 30, 2016 (B)",Netflix-Bloodline : Online,662.3,63,0,0,0,415.2,0,0,0,0,0,184.1
"WEEK OF MAY 30, 2016 (B)",Netflix-Chelsea : Online,81.7,0,0,0,0,0,0,0,0,0,0,81.7
"WEEK OF MAY 30, 2016 (B)",Netflix-Do-Over : Online,273.4,200.3,73.1,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Netflix-Lady Dynamite : Online,142.9,0,0,0,0,0,0,142.9,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Netflix-Love : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF MAY 30, 2016 (B)",Netflix-Narcos : Online,2.6,0,0,0,2.6,0,0,0,0,0,0,0
"WEEK OF MAY 30, 2016 (B)",Netflix-Orange Is The New Black : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-Chelsea : Online,803.7,0,0,0,0,803.7,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-Do-Over : Online,111.3,70.4,40.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-House Of Cards : Online,2.8,0,0,0,0,0,0,0,2.8,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-Narcos : Online,7.6,0,0,0,7.6,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,100.9,100.9,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 06, 2016 (B)",Netflix-Voltron Legendary Defender : Online,26.5,0,26.5,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix Inc : Corporate Promotion,4.5,0,0,0,0,0,0,4.5,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Aziz Ansari Master Of None : Online,2.8,0,0,0,0,0,0,0,2.8,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Chelsea : Online,106.5,0,0,0,0,106.5,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Master Of None : Online,22.3,0,0,0,22.3,0,0,0,0,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Narcos : Online,35.9,0,0,0,22.2,0,0,10.8,2.9,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Orange Is The New Black : Online,43.6,0,0,0,21.4,0,0,0,22.3,0,0,0
"WEEK OF JUN 13, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,31.7,0,0,0,19.6,0,0,12.1,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Aziz Ansari Master Of None : Online,21,0,0,0,0,0,0,0,21,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Fundamentals Of Caring : Online,63.5,0,0,0,0,0,0,63.5,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Get Down : Online,171.6,0,171.6,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-House Of Cards : Online,2.8,0,0,0,0,0,0,0,2.8,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Jessica Jones : Online,2.9,0,0,0,0,0,0,0,2.9,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Master Of None : Online,27.8,0,0,0,17,0,0,10.8,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Narcos : Online,62,0,0,0,62,0,0,0,0,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Orange Is The New Black : Online,672.2,261.9,0,0,16.5,357.2,0,10.8,25.8,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,89.4,0,0,0,14.9,0,0,71.8,2.8,0,0,0
"WEEK OF JUN 20, 2016 (B)",Netflix-Voltron Legendary Defender : Online,7.3,0,7.3,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix : Online,921,0,0,0,0,0,0,0,0,0,0,921
"WEEK OF JUN 27, 2016 (B)",Netflix-Aziz Ansari Master Of None : Online,71.8,0,0,0,0,0,0,71.8,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-Bloodline : Online,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"WEEK OF JUN 27, 2016 (B)",Netflix-Chelsea : Online,176.8,0,0,0,0,176.8,0,0,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-House Of Cards : Online,10.8,0,0,0,0,0,0,10.8,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-Jessica Jones : Online,74.1,0,0,0,0,0,0,71.8,2.3,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-Narcos : Online,15.5,0,0,0,0,0,0,0,15.5,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-Orange Is The New Black : Online,41.2,41.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 27, 2016 (B)",Netflix-Stranger Things : Online,131.1,0,0,0,0,0,0,0,0,0,0,131.1
"WEEK OF JUN 27, 2016 (B)",Netflix-Tallulah : Online,77,0,0,0,0,0,0,0,0,0,0,77
"WEEK OF JUN 27, 2016 (B)",Netflix-Voltron Legendary Defender : Online,86.9,0,86.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Netflix : Online,19.4,0,19.4,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 04, 2016 (B)",Netflix-Narcos : Online,4.5,0,0,0,4.5,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Netflix : Online,17.7,0,17.7,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Netflix-Marco Polo : Online,306.8,0,0,0,0,0,0,293.6,13.2,0,0,0
"WEEK OF JUL 11, 2016 (B)",Netflix-Stranger Things : Online,498.9,91,0,0,0,407.9,0,0,0,0,0,0
"WEEK OF JUL 11, 2016 (B)",Netflix-Tony Robbins I Am Not Your Guru : Online,15,0,0,0,1.8,0,0,13.2,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix Inc : Corporate Promotion,13.9,0,0,0,0,0,0,0,13.9,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix-Bojack Horseman : Online,42.5,42.5,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix-Narcos : Online,45.7,0,45.7,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix-Stranger Things : Online,279,279,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix-Tallulah : Online,9.1,0,0,0,9.1,0,0,0,0,0,0,0
"WEEK OF JUL 18, 2016 (B)",Netflix-Tony Robbins I Am Not Your Guru : Online,6.7,0,0,0,6.7,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Netflix-Narcos : Online,90.1,0,88.9,0,1.2,0,0,0,0,0,0,0
"WEEK OF JUL 25, 2016 (B)",Netflix-Tallulah : Online,172.9,74.3,0,0,17.1,0,0,63.5,18.1,0,0,0
"WEEK OF AUG 01, 2016 (B)",Netflix : Online,1376.1,0,0,0,4.6,0,0,0,0,3.1,3.4,1365
"WEEK OF AUG 01, 2016 (B)",Netflix-Aziz Ansari Master Of None : Online,204,0,0,0,0,204,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Netflix-House Of Cards : Online,23.2,0,0,0,23.2,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Netflix-Jeff Foxworthy & Larry The Cable Guy Weve Been Thinking : Online,5.3,0,0,0,0,0,0,0,0,0,0,5.3
"WEEK OF AUG 01, 2016 (B)",Netflix-Little Prince : Online,318.5,241.9,0,0,30.9,0,0,0,0,0,0,45.7
"WEEK OF AUG 01, 2016 (B)",Netflix-Master Of None : Online,8.1,0,0,0,8.1,0,0,0,0,0,0,0
"WEEK OF AUG 01, 2016 (B)",Netflix-Narcos : Online,57.3,0,0,0,3.7,0,0,0,0,0,0,53.6
"WEEK OF AUG 01, 2016 (B)",Netflix-Stranger Things : Online,181.4,137.7,0,0,0,0,0,0,0,0,0,43.7
"WEEK OF AUG 01, 2016 (B)",Netflix-Tallulah : Online,77,0,0,0,0,0,0,0,0,0,0,77
"WEEK OF AUG 01, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,8.5,0,0,0,8.5,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix : Online,15.2,0,0,0,8.8,0,0,0,0,3.1,3.4,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Get Down : Online,2311.9,2079.7,232.2,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-House Of Cards : Online,16.3,0,0,0,16.3,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Little Prince : Online,237.5,179,0,0,40.5,0,0,0,18.1,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Luke Cage : Online,1.8,0,1.8,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Master Of None : Online,12.5,0,0,0,12.5,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Narcos : Online,11.6,0,0,0,11.6,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Stranger Things : Online,31.7,0,31.7,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 08, 2016 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,7.9,0,0,0,7.9,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix : Online,28.2,0,0,0,21.8,0,0,0,0,3.1,3.4,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Aziz Ansari Master Of None : Online,69.1,0,0,0,0,0,0,0,69.1,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Fearless : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Get Down : Online,60.6,60.6,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Grace & Frankie : Online,143.5,0,0,0,0,0,0,143.5,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-House Of Cards : Online,173.9,0,0,0,23.2,0,0,150.7,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Master Of None : Online,181.6,0,0,0,30.9,0,0,150.7,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Narcos : Online,15.4,0,0,0,15.4,0,0,0,0,0,0,0
"WEEK OF AUG 15, 2016 (B)",Netflix-Stranger Things : Online,108.9,101.7,7.2,0,0,0,0,0,0,0,0,0
