TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF JUL 28, 2014 (B)",Netflix : Online,171.4,0,3.5,0,0,0,0,0,0,0,0,167.8
"WEEK OF JUL 28, 2014 (B)",Netflix-Bojack Horseman : Online,4.6,0,0,0,0,0,0,0,0,0,0,4.6
"WEEK OF JUL 28, 2014 (B)",Netflix-Hemlock Grove : Online,24.4,0,0,0,0,0,0,0,0,0,0,24.4
"WEEK OF JUL 28, 2014 (B)",Netflix-House Of Cards & Orange Is The New Black : Online,157,0,0,0,0,0,0,0,157,0,0,0
"WEEK OF JUL 28, 2014 (B)",Netflix-Killing : Online,229.7,0,30.9,86.9,8.9,92,0,0,0,0,0,11.1
"WEEK OF AUG 04, 2014 (B)",Netflix : Online,7.9,7.9,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 04, 2014 (B)",Netflix-Killing : Online,326.2,43.7,31.3,42.1,12.1,197,0,0,0,0,0,0
"WEEK OF AUG 11, 2014 (B)",Netflix : Online,1,0,0,0,1,0,0,0,0,0,0,0
"WEEK OF AUG 11, 2014 (B)",Netflix-Killing : Online,211.6,0,0,0,0,211.6,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Netflix : Online,420.3,0,32.5,387.7,0.1,0,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Netflix-Bojack Horseman : Online,525.8,104.9,242.5,164.6,13.8,0,0,0,0,0,0,0
"WEEK OF AUG 18, 2014 (B)",Netflix-Happy Valley : Online,29.2,0,29.2,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Netflix : Online,2141.6,1202.6,451.5,483.8,3.7,0,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Netflix-Bojack Horseman : Online,1276.1,76.7,175.2,167,10.9,846.3,0,0,0,0,0,0
"WEEK OF AUG 25, 2014 (B)",Netflix-Happy Valley : Online,22,0,22,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",Netflix : Online,449.5,0,355.6,37.5,15.5,0,0,0,0,0,0,40.9
"WEEK OF SEP 01, 2014 (B)",Netflix-Bojack Horseman : Online,146.8,12.1,70.4,57.6,0.5,0,0,0,0,0,0,6.2
"WEEK OF SEP 01, 2014 (B)",Netflix-Happy Valley : Online,7.6,0,7.6,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 01, 2014 (B)",Netflix-Killing : Online,6,0,0,0,0,0,0,0,0,0,0,6
"WEEK OF SEP 01, 2014 (B)",Netflix-Mission Blue : Online,109.2,0,0,0,0,109.2,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Netflix : Online,960.3,42.1,223.5,115.2,10.8,568.7,0,0,0,0,0,0
"WEEK OF SEP 08, 2014 (B)",Netflix-Bojack Horseman : Online,8.7,0,8.7,0,0,0,0,0,0,0,0,0
"WEEK OF SEP 15, 2014 (B)",Netflix : Online,535.6,164.4,115.6,50,8.6,197,0,0,0,0,0,0
"WEEK OF SEP 22, 2014 (B)",Netflix : Online,1011,929.8,0,75.3,5.9,0,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Netflix : Online,148,0,0,0,0,0,0,0,0,0,0,148
"WEEK OF SEP 29, 2014 (B)",Netflix-Bojack Horseman : Online,227.8,0,0,0,0,227.8,0,0,0,0,0,0
"WEEK OF SEP 29, 2014 (B)",Netflix-Chelsea Handler Uganda Be Kidding Me Live : Online,7.2,0,0,0,0,0,0,0,0,0,0,7.2
"WEEK OF SEP 29, 2014 (B)",Netflix-E-Team : Online,5.9,0,0,0,0,0,0,0,0,0,0,5.9
"WEEK OF SEP 29, 2014 (B)",Netflix-Mitt : Online,6.5,0,0,0,0,0,0,0,0,0,0,6.5
"WEEK OF OCT 06, 2014 (B)",Netflix-Chelsea Handler Uganda Be Kidding Me Live : Online,85.4,70.4,15,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 06, 2014 (B)",Netflix-Peaky Blinders : Online,25.2,0,25.2,0,0,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Netflix : Online,11.5,6.2,0,0,5.3,0,0,0,0,0,0,0
"WEEK OF OCT 13, 2014 (B)",Netflix-Chelsea Handler Uganda Be Kidding Me Live : Online,105.9,59.5,34.5,0,11.9,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Netflix : Online,8.6,0,0,0,8.6,0,0,0,0,0,0,0
"WEEK OF OCT 20, 2014 (B)",Netflix-Chelsea Handler Uganda Be Kidding Me Live : Online,380.4,112.2,27.2,0,9.7,231.3,0,0,0,0,0,0
"WEEK OF OCT 27, 2014 (B)",Netflix : Online,1073.5,41.8,0,605.5,23.7,0,0,0,0,0,0,402.5
"WEEK OF OCT 27, 2014 (B)",Netflix-Chelsea Handler Uganda Be Kidding Me Live : Online,1.5,0,0,0,0,0,0,0,0,0,0,1.5
"WEEK OF OCT 27, 2014 (B)",Netflix-E-Team : Online,87.2,0,0,0,0,78.6,0,0,0,0,0,8.6
"WEEK OF OCT 27, 2014 (B)",Netflix-Lilyhammer : Online,6.7,0,0,0,0,0,0,0,0,0,0,6.7
"WEEK OF NOV 03, 2014 (B)",Netflix : Online,415.2,32.5,11.3,351.7,19.7,0,0,0,0,0,0,0
"WEEK OF NOV 10, 2014 (B)",Netflix : Online,570.6,351.3,140.6,60.3,18.4,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Netflix : Online,1386.1,940.3,429.3,0,16.5,0,0,0,0,0,0,0
"WEEK OF NOV 17, 2014 (B)",Netflix-VeggieTales In The House : Online,49.2,0,34.3,0,14.8,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Netflix : Online,3418.4,2097.1,765.2,553.2,2.9,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Netflix-House Of Cards & Orange Is The New Black : Online,285.7,0,0,0,0,0,0,160.3,125.4,0,0,0
"WEEK OF NOV 24, 2014 (B)",Netflix-Marco Polo : Online,394.6,0,394.6,0,0,0,0,0,0,0,0,0
"WEEK OF NOV 24, 2014 (B)",Netflix-VeggieTales In The House : Online,109.8,0,101,0,8.8,0,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Netflix : Online,2275.4,728.3,116.8,897.2,29.9,0,0,0,0,0,0,503.2
"WEEK OF DEC 01, 2014 (B)",Netflix-Lilyhammer : Online,211.6,0,0,0,0,211.6,0,0,0,0,0,0
"WEEK OF DEC 01, 2014 (B)",Netflix-Marco Polo : Online,124.5,0,3,0,0,0,0,0,0,0,0,121.4
"WEEK OF DEC 01, 2014 (B)",Netflix-Orange Is The New Black : Online,157,0,0,0,0,0,0,0,157,0,0,0
"WEEK OF DEC 08, 2014 (B)",Netflix : Online,1071.2,528.9,26.7,480.2,35.4,0,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Netflix-Killing : Online,0.4,0,0,0,0.4,0,0,0,0,0,0,0
"WEEK OF DEC 08, 2014 (B)",Netflix-Marco Polo : Online,920.7,172.1,479.4,0,72.2,197,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Netflix : Online,1307.2,749,290.8,229.7,37.7,0,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Netflix-All Hail King Julien : Online,220.3,48.2,172.1,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 15, 2014 (B)",Netflix-Marco Polo : Online,1593.2,79.9,983.6,103.4,54.4,211.6,0,160.3,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Netflix : Online,3056.6,1292.6,1134.2,607.6,22.1,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Netflix-All Hail King Julien : Online,84.2,0,84.2,0,0,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Netflix-Marco Polo : Online,798.4,62,472.9,261.6,1.9,0,0,0,0,0,0,0
"WEEK OF DEC 22, 2014 (B)",Netflix-Orange Is The New Black : Online,157,0,0,0,0,0,0,0,157,0,0,0
"WEEK OF DEC 29, 2014 (B)",Netflix : Online,1894.7,455.2,359.4,470.4,1.3,327.9,0,0,0,0,0,280.4
"WEEK OF DEC 29, 2014 (B)",Netflix Inc : Corporate Promotion,442.6,0,0,0,0,442.6,0,0,0,0,0,0
"WEEK OF DEC 29, 2014 (B)",Netflix-Friends : Online,215.6,0,0,215.5,0.1,0,0,0,0,0,0,0
"WEEK OF DEC 29, 2014 (B)",Netflix-Marco Polo : Online,2865.3,750.5,330.2,0,0.1,1759.4,0,0,0,0,0,25.2
"WEEK OF JAN 05, 2015 (B)",Netflix : Online,314.3,48.2,180,85.4,0.7,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Netflix-Friends : Online,258.6,0,0,258.6,0,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Netflix-House Of Cards : Online,577,577,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 05, 2015 (B)",Netflix-Marco Polo : Online,154.5,0,154.5,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Netflix : Online,1232.7,497.9,186.9,547,0.9,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Netflix-Adventures Of Puss In Boots : Online,236.5,0,236.5,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Netflix-Daredevil : Online,71.7,71.7,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Netflix-Friends : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 12, 2015 (B)",Netflix-Marco Polo : Online,137,0,137,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Netflix : Online,655.9,341.9,28.7,284.9,0.4,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Netflix-Adventures Of Puss In Boots : Online,79.4,0,79.4,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Netflix-House Of Cards : Online,176.2,176.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 19, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,23,0,23,0,0,0,0,0,0,0,0,0
"WEEK OF JAN 26, 2015 (B)",Netflix : Online,553.2,76,43.4,184.1,0.3,0,0,0,0,0,0,249.4
"WEEK OF JAN 26, 2015 (B)",Netflix-House Of Cards : Online,144.4,0,0,0,0,0,0,0,0,0,0,144.4
"WEEK OF JAN 26, 2015 (B)",Netflix-Marco Polo : Online,1.8,0,0,0,0,0,0,0,0,0,0,1.8
"WEEK OF JAN 26, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,48.3,0,48.3,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Netflix : Online,515.6,94.8,101.4,319,0.4,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Netflix-Daredevil : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Netflix-House Of Cards : Online,155.7,0,155.7,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,71.2,0,71.2,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 02, 2015 (B)",Netflix-Virunga : Online,210.5,0,0,0,48.5,0,0,160.3,1.7,0,0,0
"WEEK OF FEB 09, 2015 (B)",Netflix : Online,70.8,0,70.5,0,0.3,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Netflix-House Of Cards : Online,680.1,647.4,9.2,0,23.5,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,70.6,0,70.6,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 09, 2015 (B)",Netflix-Virunga : Online,1000.5,0,0,0,203.7,0,0,795.9,0.9,0,0,0
"WEEK OF FEB 16, 2015 (B)",Netflix : Online,93.1,0,93.1,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Netflix-House Of Cards : Online,2572,2326.8,192.2,32.7,20.4,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,79.2,0,79.2,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 16, 2015 (B)",Netflix-Virunga : Online,136.4,0,0,0,30.2,0,0,88.8,17.5,0,0,0
"WEEK OF FEB 23, 2015 (B)",Netflix : Online,1033.5,0,112.5,0,0,0,0,0,0,0,0,921
"WEEK OF FEB 23, 2015 (B)",Netflix-Aziz Ansari Buried Alive : Online,4,0,0,0,0,0,0,0,0,0,0,4
"WEEK OF FEB 23, 2015 (B)",Netflix-Bloodline : Online,11.3,0,0,0,0,0,0,0,0,0,0,11.3
"WEEK OF FEB 23, 2015 (B)",Netflix-House Of Cards : Online,1768.8,666.4,195.8,0,21.3,586.1,0,142.9,115.7,0,0,40.7
"WEEK OF FEB 23, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,41.3,0,41.3,0,0,0,0,0,0,0,0,0
"WEEK OF FEB 23, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,218,95,0,0,1,0,0,0,0,0,0,122
"WEEK OF MAR 02, 2015 (B)",Netflix : Online,85.4,0,85.4,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,12.4,12.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Netflix-House Of Cards : Online,778.1,190.9,245.7,55.4,26.1,259.9,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,27.7,0,27.7,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 02, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,529,0,107,296.3,0.4,0,0,0,125.4,0,0,0
"WEEK OF MAR 09, 2015 (B)",Netflix : Online,0,0,0,0,0,0,0,0,0,0,0,0
